Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
10/13/18,574.00,0.00,28.94,545.06,12.20,532.86,97.76%,0.00
10/12/18,732.30,0.00,12.67,719.63,21.00,698.63,97.08%,0.00
10/11/18,739.00,0.00,47.51,691.49,18.60,672.89,97.31%,0.00
10/10/18,703.40,0.00,57.58,645.82,20.00,625.82,96.90%,0.00
10/9/18,769.30,0.00,75.83,693.47,15.60,677.87,97.75%,0.00
10/8/18,650.00,0.00,52.37,597.63,15.80,581.83,97.36%,0.00
10/7/18,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
10/6/18,601.10,0.00,47.33,553.77,17.40,536.37,96.86%,0.00
10/5/18,526.90,0.00,17.37,509.53,6.80,502.73,98.67%,0.00
10/4/18,572.80,0.00,42.71,530.09,8.00,522.09,98.49%,0.00
10/3/18,796.50,0.00,19.83,776.67,22.20,754.47,97.14%,0.00
10/2/18,802.80,0.00,45.86,756.94,18.20,738.74,97.60%,0.00
10/1/18,679.60,0.00,21.62,657.98,7.60,650.38,98.84%,0.00
