Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
D2. Red Ruby (Regular),D2R,Desserts,8.000,22.40,0.000,0.00,0.00,22.40,0.00,22.40,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Regular),D3R,Desserts,7.000,28.00,0.000,0.00,0.00,28.00,0.00,28.00,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Mini),D3M,Desserts,6.000,10.80,0.000,0.00,0.00,10.80,0.00,10.80,100.00%,0.00
D4. Mango Sago (Regular),D4R,Desserts,7.000,26.60,0.000,0.00,0.00,26.60,0.00,26.60,100.00%,0.00
D4. Mango Sago (Mini),D4M,Desserts,6.000,10.80,0.000,0.00,0.00,10.80,0.00,10.80,100.00%,0.00
Dessert,10058,No category,22.000,33.00,0.000,0.00,0.45,32.55,0.00,32.55,100.00%,0.00
Half Egg,10055,Sides 1,3.000,1.50,0.000,0.00,0.05,1.45,0.00,1.45,100.00%,0.00
Hot Coffee,802,No category,36.000,64.80,0.000,0.00,0.18,64.62,0.00,64.62,100.00%,0.00
Hot Lemongrass Tea,10042,No category,79.000,142.20,0.000,0.00,4.14,138.06,0.00,138.06,100.00%,0.00
Hot Tea,801,No category,61.000,109.80,0.000,0.00,0.00,109.80,0.00,109.80,100.00%,0.00
Lime Juice,10025,No category,52.000,135.20,0.000,0.00,0.52,134.68,0.00,134.68,100.00%,0.00
Mala Minced Pork,10014,No category,61.000,360.80,0.000,0.00,6.96,353.84,0.00,353.84,100.00%,0.00
Mango Sago,10048,No category,30.000,114.00,0.000,0.00,4.94,109.06,0.00,109.06,100.00%,0.00
Mango Sticky Rice,10028,No category,65.000,377.00,0.000,0.00,24.94,352.06,0.00,352.06,100.00%,0.00
Mu Ping,10052,Sides 1,121.000,701.80,0.000,0.00,25.41,676.39,0.00,676.39,100.00%,0.00
Mu Ping (X1),10053,Sides 1,43.000,86.00,0.000,0.00,2.88,83.12,0.00,83.12,100.00%,0.00
Northern Thai Pork Rib,01,No category,326.000,2230.50,0.000,0.00,46.13,2184.37,0.00,2184.37,100.00%,0.00
Papaya Salad,10017,Sides 1,59.000,283.20,0.000,0.00,11.25,271.95,0.00,271.95,100.00%,0.00
Pink Soda,10050,No category,23.000,59.80,0.000,0.00,0.00,59.80,0.00,59.80,100.00%,0.00
Premium Tom Yum,10019,No category,80.000,866.00,1.000,10.80,60.48,794.72,0.00,794.72,100.00%,0.00
Red Ruby,3001,No category,50.000,140.00,0.000,0.00,0.84,139.16,0.00,139.16,100.00%,0.00
Rice,10007,Sides 2,100.000,100.00,0.000,0.00,0.70,99.30,0.00,99.30,100.00%,0.00
Rice Cracker,10049,Products,54.000,324.00,0.000,0.00,0.00,324.00,0.00,324.00,100.00%,0.00
Sai Mai,10023,No category,39.000,156.00,0.000,0.00,17.20,138.80,0.00,138.80,100.00%,0.00
Slice Pork with Lime,10064,Sides 1,2.000,11.60,0.000,0.00,0.00,11.60,0.00,11.60,100.00%,0.00
Spicy Pork Salad,10051,Sides 1,42.000,201.60,0.000,0.00,6.72,194.88,0.00,194.88,100.00%,0.00
Stew Chicken Feet,10010,Sides 1,2.000,6.00,0.000,0.00,0.00,6.00,0.00,6.00,100.00%,0.00
Stew Chicken Wing,10011,Sides 1,1.000,3.00,0.000,0.00,0.00,3.00,0.00,3.00,100.00%,0.00
Thai Bak Chor Mee,10062,No category,7.000,40.60,0.000,0.00,5.80,34.80,0.00,34.80,100.00%,0.00
Thai Collagen Porridge,10063,No category,3.000,14.40,0.000,0.00,4.80,9.60,0.00,9.60,100.00%,0.00
Thai Green Tea,10035,No category,65.000,221.00,0.000,0.00,0.70,220.30,0.00,220.30,100.00%,0.00
Thai Ice Coffee,103,No category,67.000,186.20,0.000,0.00,3.45,182.75,0.00,182.75,100.00%,0.00
Thai Ice Tea,101,No category,332.000,963.20,2.000,5.20,26.01,931.99,0.00,931.99,100.00%,0.00
Thai Lemon Tea,102,No category,47.000,123.20,0.000,0.00,5.84,117.36,0.00,117.36,100.00%,0.00
Thai Stew Chicken,03,No category,71.000,380.30,1.000,5.30,6.36,368.64,0.00,368.64,100.00%,0.00
Tom Yum Gong,10016,No category,112.000,737.00,0.000,0.00,3.53,733.47,0.00,733.47,100.00%,0.00
Tom Yum Pork,02,No category,75.000,443.50,0.000,0.00,0.84,442.66,0.00,442.66,100.00%,0.00
Water (Cold),90001,No category,10.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Water (Warm),90003,No category,4.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
i. Half Egg,i,Add Ons,2.000,1.40,0.000,0.00,0.00,1.40,0.00,1.40,100.00%,0.00
ii. Soup,ii,Add Ons,1.000,1.00,0.000,0.00,0.00,1.00,0.00,1.00,100.00%,0.00
iii. Rice,iii,Sides 1,47.000,47.00,0.000,0.00,0.14,46.86,0.00,46.86,100.00%,0.00
xiii. Noodles Soup,xiii,Add Ons,3.000,7.50,0.000,0.00,0.00,7.50,0.00,7.50,100.00%,0.00
