Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
C9. Iced Milo (Regular),C9R,Cold Drinks,7.000,21.00,0.000,0.00,0.63,20.37,0.00,20.37,100.00%,0.00
C9. Iced Milo (Mini),C9M,Cold Drinks,3.000,6.00,0.000,0.00,0.42,5.58,0.00,5.58,100.00%,0.00
Crispy Pork,10059,Products,8.000,56.00,0.000,0.00,2.10,53.90,0.00,53.90,100.00%,0.00
D1. Mango Sticky Rice (Regular),D1R,Desserts,14.000,81.20,0.000,0.00,5.51,75.69,0.00,75.69,100.00%,0.00
D1. Mango Sticky Rice (Mini),D1M,Desserts,4.000,8.00,0.000,0.00,0.32,7.68,0.00,7.68,100.00%,0.00
D2. Red Ruby (Mini),D2M,Desserts,39.000,58.50,0.000,0.00,2.83,55.67,0.00,55.67,100.00%,0.00
D2. Red Ruby (Regular),D2R,Desserts,53.000,148.40,0.000,0.00,2.79,145.61,0.00,145.61,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Regular),D3R,Desserts,16.000,64.00,0.000,0.00,2.42,61.58,0.00,61.58,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Mini),D3M,Desserts,18.000,32.40,0.000,0.00,3.91,28.49,0.00,28.49,100.00%,0.00
D4. Mango Sago (Mini),D4M,Desserts,2.000,3.60,0.000,0.00,0.18,3.42,0.00,3.42,100.00%,0.00
D5. Tapioca (Mini),D5M,Desserts,5.000,9.00,0.000,0.00,0.54,8.46,0.00,8.46,100.00%,0.00
D5. Tapioca (Regular),D5R,Desserts,2.000,7.60,0.000,0.00,0.00,7.60,0.00,7.60,100.00%,0.00
Lime & Chilli Pork,10000,Products,2.000,14.00,0.000,0.00,2.10,11.90,0.00,11.90,100.00%,0.00
Rice Cracker,10049,Products,9.000,54.00,0.000,0.00,0.83,53.17,0.00,53.17,100.00%,0.00
Small snack,10006,No category,2.000,3.00,0.000,0.00,0.00,3.00,0.00,3.00,100.00%,0.00
Soft Drinks,SD1,Cold Drinks,45.000,67.50,0.000,0.00,1.63,65.87,0.00,65.87,100.00%,0.00
Thai Tea,10004,Products,1.000,6.00,0.000,0.00,0.00,6.00,0.00,6.00,100.00%,0.00
Water,W1,Cold Drinks,45.000,67.50,0.000,0.00,0.30,67.20,0.00,67.20,100.00%,0.00
i. Half Egg,i,Add Ons,3.000,2.10,0.000,0.00,0.21,1.89,0.00,1.89,100.00%,0.00
iii. Rice,iii,Sides 1,150.000,150.00,0.000,0.00,5.92,144.08,0.00,144.08,100.00%,0.00
xiii. Noodles Soup,xiii,Add Ons,1.000,2.50,0.000,0.00,0.25,2.25,0.00,2.25,100.00%,0.00
