Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
C4. Thai Iced Tea (Regular),C4R,Cold Drinks,464.000,1540.00,6.000,23.00,18.43,1498.57,0.00,1498.57,100.00%,0.00
C5. Pink Soda (Mini),C5M,Cold Drinks,7.000,14.00,0.000,0.00,0.00,14.00,0.00,14.00,100.00%,0.00
C5. Pink Soda (Regular),C5R,Cold Drinks,40.000,120.00,0.000,0.00,1.35,118.65,0.00,118.65,100.00%,0.00
C6. Thai Iced Black Tea (Regular),C6R,Cold Drinks,13.000,40.00,0.000,0.00,0.60,39.40,0.00,39.40,100.00%,0.00
C7. Thai Iced Black Coffee (Regular),C7R,Cold Drinks,7.000,21.00,0.000,0.00,0.62,20.38,0.00,20.38,100.00%,0.00
C8. Thai Iced Coffee (Mini),C8M,Cold Drinks,1.000,2.00,0.000,0.00,0.00,2.00,0.00,2.00,100.00%,0.00
C8. Thai Iced Coffee (Regular),C8R,Cold Drinks,23.000,71.00,0.000,0.00,0.30,70.70,0.00,70.70,100.00%,0.00
C9. Iced Milo (Mini),C9M,Cold Drinks,1.000,2.00,0.000,0.00,0.00,2.00,0.00,2.00,100.00%,0.00
C9. Iced Milo (Regular),C9R,Cold Drinks,8.000,25.00,0.000,0.00,0.50,24.50,0.00,24.50,100.00%,0.00
Crispy Pork,10059,Products,37.000,259.00,0.000,0.00,4.13,254.87,0.00,254.87,100.00%,0.00
D1. Mango Sticky Rice (Mini),D1M,Desserts,26.000,52.00,0.000,0.00,0.32,51.68,0.00,51.68,100.00%,0.00
D1. Mango Sticky Rice (Regular),D1R,Desserts,80.000,464.00,0.000,0.00,9.27,454.73,0.00,454.73,100.00%,0.00
D2. Red Ruby (Mini),D2M,Desserts,25.000,37.50,0.000,0.00,0.60,36.90,0.00,36.90,100.00%,0.00
D2. Red Ruby (Regular),D2R,Desserts,54.000,151.20,0.000,0.00,0.56,150.64,0.00,150.64,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Mini),D3M,Desserts,35.000,63.00,0.000,0.00,0.61,62.39,0.00,62.39,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Regular),D3R,Desserts,38.000,152.00,0.000,0.00,5.90,146.10,0.00,146.10,100.00%,0.00
D4. Mango Sago (Mini),D4M,Desserts,28.000,50.40,0.000,0.00,0.24,50.16,0.00,50.16,100.00%,0.00
D4. Mango Sago (Regular),D4R,Desserts,33.000,125.40,0.000,0.00,0.76,124.64,0.00,124.64,100.00%,0.00
D5. Tapioca (Mini),D5M,Desserts,17.000,30.60,0.000,0.00,0.36,30.24,0.00,30.24,100.00%,0.00
D5. Tapioca (Regular),D5R,Desserts,23.000,87.40,0.000,0.00,0.87,86.53,0.00,86.53,100.00%,0.00
i. Half Egg,i,Add Ons,2.000,1.40,0.000,0.00,0.00,1.40,0.00,1.40,100.00%,0.00
iii. Rice,iii,Sides 1,197.000,197.00,2.000,2.00,1.55,193.45,0.00,193.45,100.00%,0.00
Lime & Chilli Pork,10000,Products,9.000,63.00,0.000,0.00,0.98,62.02,0.00,62.02,100.00%,0.00
Rice Cracker,10049,Products,43.000,258.00,0.000,0.00,13.02,244.98,0.00,244.98,100.00%,0.00
Small snack,10006,No category,4.000,6.00,0.000,0.00,0.00,6.00,0.00,6.00,100.00%,0.00
Soft Drinks,SD1,Cold Drinks,14.000,21.00,0.000,0.00,0.00,21.00,0.00,21.00,100.00%,0.00
Water,W1,Cold Drinks,44.000,66.00,0.000,0.00,1.05,64.95,0.00,64.95,100.00%,0.00
xiii. Noodles Soup,xiii,Add Ons,12.000,30.00,0.000,0.00,0.50,29.50,0.00,29.50,100.00%,0.00
