Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
D2. Red Ruby (Mini),D2M,Desserts,54.000,81.00,0.000,0.00,5.10,75.90,0.00,75.90,100.00%,0.00
D2. Red Ruby (Regular),D2R,Desserts,54.000,151.20,0.000,0.00,10.08,141.12,0.00,141.12,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Regular),D3R,Desserts,24.000,96.00,0.000,0.00,3.20,92.80,0.00,92.80,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Mini),D3M,Desserts,16.000,28.80,0.000,0.00,2.16,26.64,0.00,26.64,100.00%,0.00
D4. Mango Sago (Regular),D4R,Desserts,4.000,15.20,0.000,0.00,0.00,15.20,0.00,15.20,100.00%,0.00
D4. Mango Sago (Mini),D4M,Desserts,1.000,1.80,0.000,0.00,0.00,1.80,0.00,1.80,100.00%,0.00
D5. Tapioca (Mini),D5M,Desserts,1.000,1.80,0.000,0.00,0.00,1.80,0.00,1.80,100.00%,0.00
D5. Tapioca (Regular),D5R,Desserts,2.000,7.60,0.000,0.00,0.89,6.71,0.00,6.71,100.00%,0.00
Lime & Chilli Pork,10000,Products,5.000,35.00,0.000,0.00,0.70,34.30,0.00,34.30,100.00%,0.00
Rice Cracker,10049,Products,10.000,60.00,0.000,0.00,2.40,57.60,0.00,57.60,100.00%,0.00
Seaweed,10003,Products,1.000,6.00,0.000,0.00,0.00,6.00,0.00,6.00,100.00%,0.00
Soft Drinks,SD1,Cold Drinks,36.000,54.00,0.000,0.00,2.40,51.60,0.00,51.60,100.00%,0.00
Thai Tea,10004,Products,1.000,6.00,0.000,0.00,0.00,6.00,0.00,6.00,100.00%,0.00
Water,W1,Cold Drinks,64.000,96.00,0.000,0.00,7.50,88.50,0.00,88.50,100.00%,0.00
i. Half Egg,i,Add Ons,1.000,0.70,0.000,0.00,0.07,0.63,0.00,0.63,100.00%,0.00
iii. Rice,iii,Sides 1,105.000,105.00,0.000,0.00,7.70,97.30,0.00,97.30,100.00%,0.00
