Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
C8. Thai Iced Coffee (Regular),C8R,Cold Drinks,16.000,48.00,0.000,0.00,0.30,47.70,0.00,47.70,100.00%,0.00
C9. Iced Milo (Mini),C9M,Cold Drinks,2.000,4.00,0.000,0.00,0.00,4.00,0.00,4.00,100.00%,0.00
C9. Iced Milo (Regular),C9R,Cold Drinks,1.000,3.00,0.000,0.00,0.00,3.00,0.00,3.00,100.00%,0.00
Crispy Pork,10059,Products,28.000,196.00,0.000,0.00,1.70,194.30,0.00,194.30,100.00%,0.00
D1. Mango Sticky Rice (Mini),D1M,Desserts,21.000,42.00,1.000,2.00,1.00,39.00,0.00,39.00,100.00%,0.00
D1. Mango Sticky Rice (Regular),D1R,Desserts,44.000,255.20,4.000,23.20,14.21,217.79,0.00,217.79,100.00%,0.00
D2. Red Ruby (Mini),D2M,Desserts,22.000,33.00,0.000,0.00,2.25,30.75,0.00,30.75,100.00%,0.00
D2. Red Ruby (Regular),D2R,Desserts,30.000,84.00,1.000,2.80,1.96,79.24,0.00,79.24,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Mini),D3M,Desserts,11.000,19.80,0.000,0.00,5.94,13.86,0.00,13.86,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Regular),D3R,Desserts,14.000,56.00,3.000,12.00,1.20,42.80,0.00,42.80,100.00%,0.00
D4. Mango Sago (Mini),D4M,Desserts,21.000,37.80,1.000,1.80,2.16,33.84,0.00,33.84,100.00%,0.00
D4. Mango Sago (Regular),D4R,Desserts,17.000,64.60,0.000,0.00,1.52,63.08,0.00,63.08,100.00%,0.00
D5. Tapioca (Mini),D5M,Desserts,7.000,12.60,0.000,0.00,0.36,12.24,0.00,12.24,100.00%,0.00
D5. Tapioca (Regular),D5R,Desserts,9.000,34.20,0.000,0.00,1.52,32.68,0.00,32.68,100.00%,0.00
iii. Rice,iii,Sides 1,89.000,89.00,0.000,0.00,2.20,86.80,0.00,86.80,100.00%,0.00
Red Bull (Tall),10011,Cold Drinks,4.000,10.00,0.000,0.00,0.00,10.00,0.00,10.00,100.00%,0.00
Rice Cracker,10049,Products,7.000,42.00,0.000,0.00,0.90,41.10,0.00,41.10,100.00%,0.00
Seaweed,10003,Products,1.000,6.00,0.000,0.00,0.00,6.00,0.00,6.00,100.00%,0.00
Soft Drinks,SD1,Cold Drinks,81.000,121.50,1.000,1.50,1.80,118.20,0.00,118.20,100.00%,0.00
Thai Tea,10004,Products,2.000,12.00,0.000,0.00,0.00,12.00,0.00,12.00,100.00%,0.00
Water,W1,Cold Drinks,46.000,69.00,1.000,1.50,2.40,65.10,0.00,65.10,100.00%,0.00
