Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
Crispy Pork,10059,Products,38.000,266.00,0.000,0.00,3.37,262.63,0.00,262.63,100.00%,0.00
D1. Mango Sticky Rice (Mini),D1M,Desserts,36.000,72.00,0.000,0.00,0.20,71.80,0.00,71.80,100.00%,0.00
D1. Mango Sticky Rice (Regular),D1R,Desserts,86.000,498.80,0.000,0.00,2.76,496.04,0.00,496.04,100.00%,0.00
D2. Red Ruby (Mini),D2M,Desserts,31.000,46.50,0.000,0.00,0.45,46.05,0.00,46.05,100.00%,0.00
D2. Red Ruby (Regular),D2R,Desserts,69.000,193.20,2.000,5.60,0.84,186.76,0.00,186.76,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Mini),D3M,Desserts,24.000,43.20,0.000,0.00,0.22,42.98,0.00,42.98,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Regular),D3R,Desserts,29.000,116.00,0.000,0.00,0.00,116.00,0.00,116.00,100.00%,0.00
D4. Mango Sago (Delivery),10088,Desserts,1.000,5.50,0.000,0.00,0.00,5.50,0.00,5.50,100.00%,0.00
D4. Mango Sago (Mini),D4M,Desserts,33.000,59.40,0.000,0.00,0.36,59.04,0.00,59.04,100.00%,0.00
D4. Mango Sago (Regular),D4R,Desserts,60.000,228.00,0.000,0.00,1.31,226.69,0.00,226.69,100.00%,0.00
D5. Tapioca (Mini),D5M,Desserts,18.000,32.40,0.000,0.00,0.48,31.92,0.00,31.92,100.00%,0.00
D5. Tapioca (Regular),D5R,Desserts,24.000,91.20,0.000,0.00,0.00,91.20,0.00,91.20,100.00%,0.00
iii. Rice,iii,Sides 1,212.000,213.00,6.000,6.00,1.83,205.17,0.00,205.17,100.00%,0.00
Lime & Chilli Pork,10000,Products,3.000,21.00,0.000,0.00,0.27,20.73,0.00,20.73,100.00%,0.00
Rice Cracker,10049,Products,34.000,204.00,0.000,0.00,5.38,198.62,0.00,198.62,100.00%,0.00
Seaweed,10003,Products,5.000,30.00,0.000,0.00,0.36,29.64,0.00,29.64,100.00%,0.00
Small snack,10006,No category,1.000,1.50,0.000,0.00,0.03,1.47,0.00,1.47,100.00%,0.00
Soft Drinks,SD1,Cold Drinks,18.000,27.00,0.000,0.00,0.15,26.85,0.00,26.85,100.00%,0.00
Water,W1,Cold Drinks,25.000,37.50,1.000,1.50,0.00,36.00,0.00,36.00,100.00%,0.00
xiii. Noodles Soup,xiii,Add Ons,14.000,35.00,0.000,0.00,1.11,33.89,0.00,33.89,100.00%,0.00
