Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
D2. Red Ruby (Regular),D2R,Desserts,19.000,53.20,0.000,0.00,1.96,51.24,0.00,51.24,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Mini),D3M,Desserts,15.000,27.00,0.000,0.00,13.14,13.86,0.00,13.86,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Regular),D3R,Desserts,6.000,24.00,0.000,0.00,0.00,24.00,0.00,24.00,100.00%,0.00
D4. Mango Sago (Delivery),10088,Desserts,2.000,11.00,0.000,0.00,0.86,10.14,0.00,10.14,100.00%,0.00
D4. Mango Sago (Mini),D4M,Desserts,4.000,7.20,0.000,0.00,0.18,7.02,0.00,7.02,100.00%,0.00
D4. Mango Sago (Regular),D4R,Desserts,3.000,11.40,0.000,0.00,0.38,11.02,0.00,11.02,100.00%,0.00
D5. Tapioca (Mini),D5M,Desserts,5.000,9.00,0.000,0.00,0.18,8.82,0.00,8.82,100.00%,0.00
D5. Tapioca (Regular),D5R,Desserts,6.000,22.80,1.000,3.80,0.76,18.24,0.00,18.24,100.00%,0.00
iii. Rice (Delivery),10091,Sides 1,1.000,1.50,0.000,0.00,0.30,1.20,0.00,1.20,100.00%,0.00
iii. Rice (Normal),10090,Sides 1,44.000,44.00,0.000,0.00,0.80,43.20,0.00,43.20,100.00%,0.00
Lime & Chilli Pork,10000,Products,2.000,14.00,0.000,0.00,0.70,13.30,0.00,13.30,100.00%,0.00
Red Bull (Tall),10011,Cold Drinks,4.000,10.00,0.000,0.00,0.00,10.00,0.00,10.00,100.00%,0.00
Rice Cracker,10049,Products,5.000,30.00,0.000,0.00,1.80,28.20,0.00,28.20,100.00%,0.00
Soft Drinks,SD1,Cold Drinks,22.000,33.00,0.000,0.00,0.60,32.40,0.00,32.40,100.00%,0.00
Water,W1,Cold Drinks,18.000,27.00,0.000,0.00,0.15,26.85,0.00,26.85,100.00%,0.00
