Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
Jul/14,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Jul/13,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Jul/12,947.70,0.00,13.39,934.31,0.00,934.31,100.00%,0.00
Jul/11,968.70,0.00,16.65,952.05,0.00,952.05,100.00%,0.00
Jul/10,1089.60,0.00,14.59,1075.01,0.00,1075.01,100.00%,0.00
Jul/09,997.40,0.00,69.04,928.36,0.00,928.36,100.00%,0.00
Jul/08,1006.20,0.00,25.10,981.10,0.00,981.10,100.00%,0.00
Jul/07,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Jul/06,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Jul/05,1153.80,0.00,54.89,1098.91,0.00,1098.91,100.00%,0.00
Jul/04,983.40,0.00,64.93,918.47,0.00,918.47,100.00%,0.00
Jul/03,934.80,0.00,44.86,889.94,0.00,889.94,100.00%,0.00
Jul/02,718.60,0.00,38.08,680.52,0.00,680.52,100.00%,0.00
Jul/01,653.60,0.00,49.49,604.11,0.00,604.11,100.00%,0.00
